Pin Number,Pin ID,Custom Name,Function,Mode, Direction,Latch,Pull Up,Pull Down,Drive Strength
1,PA00,,Available,,,,,,NORMAL
2,PA01,,Available,,,,,,NORMAL
3,PA02,,PTC_DRV2/X2/Y2,Digital,High Impedance,n/a,No,No,NORMAL
4,PA03,,PTC_DRV3/ECI0/X3/Y3,Digital,High Impedance,n/a,No,No,NORMAL
5,PB04,,PTC_DRV26/X26/Y26,Digital,High Impedance,n/a,No,No,NORMAL
6,PB05,,PTC_DRV27/X27/Y27,Digital,High Impedance,n/a,No,No,NORMAL
9,PB06,,PTC_DRV28/X28/Y28,Digital,High Impedance,n/a,No,No,NORMAL
10,PB07,,PTC_DRV29/X29/Y29,Digital,High Impedance,n/a,No,No,NORMAL
11,PB08,,PTC_DRV20/X20/Y20,Digital,High Impedance,n/a,No,No,NORMAL
12,PB09,,PTC_DRV21/X21/Y21,Digital,High Impedance,n/a,No,No,NORMAL
13,PA04,,Available,,,,,,NORMAL
14,PA05,,Available,,,,,,NORMAL
15,PA06,,PTC_DRV5/ECI3/X5/Y5,Digital,High Impedance,n/a,No,No,NORMAL
16,PA07,,Available,,,,,,NORMAL
17,PA08,,Available,,,,,,NORMAL
18,PA09,,Available,,,,,,NORMAL
19,PA10,,Available,,,,,,NORMAL
20,PA11,,Available,,,,,,NORMAL
25,PB12,,Available,,,,,,NORMAL
26,PB13,,Available,,,,,,NORMAL
27,PB14,,Available,,,,,,NORMAL
28,PB15,,Available,,,,,,NORMAL
29,PA12,,Available,,,,,,NORMAL
30,PA13,,Available,,,,,,NORMAL
31,PA14,,Available,,,,,,NORMAL
32,PA15,,Available,,,,,,NORMAL
35,PA16,,Available,,,,,,NORMAL
36,PA17,,Available,,,,,,NORMAL
37,PA18,,Available,,,,,,NORMAL
38,PA19,,Available,,,,,,NORMAL
39,PB16,,Available,,,,,,NORMAL
40,PB17,,Available,,,,,,NORMAL
41,PA20,,Available,,,,,,NORMAL
42,PA21,,PTC_DRV23/X23/Y23,Digital,High Impedance,n/a,No,No,NORMAL
43,PA22,,PTC_DRV16/X16/Y16,Digital,High Impedance,n/a,No,No,NORMAL
44,PA23,,PTC_DRV17/X17/Y17,Digital,High Impedance,n/a,No,No,NORMAL
45,PA24,,Available,,,,,,NORMAL
46,PA25,,Available,,,,,,NORMAL
49,PB22,,Available,,,,,,NORMAL
50,PB23,,Available,,,,,,NORMAL
57,PA30,,Available,,,,,,NORMAL
58,PA31,,Available,,,,,,NORMAL
59,PB30,,Available,,,,,,NORMAL
60,PB31,,Available,,,,,,NORMAL
61,PB00,,Available,,,,,,NORMAL
62,PB01,,Available,,,,,,NORMAL
63,PB02,,Available,,,,,,NORMAL
64,PB03,,Available,,,,,,NORMAL
